epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8296,1.28714,0.93912,1.22551,0.9255,0.86641,0.91225,0.62471,1.11834,0.56797,1.09116,0.000553886,0.000553886,0.000553886
2,133.556,1.21959,0.71103,1.17747,0.89779,0.84104,0.89711,0.61858,1.13195,0.65237,1.09935,0.00108758,0.00108758,0.00108758
3,194.351,1.18721,0.67401,1.16295,0.92693,0.879,0.91806,0.63755,1.09338,0.50989,1.08207,0.00159928,0.00159928,0.00159928
4,255.189,1.15632,0.64256,1.14578,0.95481,0.8908,0.93508,0.65909,1.06761,0.47793,1.06916,0.00156798,0.00156798,0.00156798
5,316.015,1.14469,0.61946,1.14201,0.95435,0.9077,0.93538,0.67407,1.04778,0.45108,1.05536,0.00153497,0.00153497,0.00153497
6,376.781,1.11811,0.58844,1.12838,0.96904,0.91029,0.94006,0.67162,1.05208,0.42724,1.0524,0.00150197,0.00150197,0.00150197
7,437.211,1.10701,0.56403,1.12506,0.95738,0.91103,0.93978,0.68172,1.0283,0.42307,1.04991,0.00146896,0.00146896,0.00146896
8,498.142,1.08907,0.55471,1.10948,0.97001,0.91488,0.94048,0.68559,1.01321,0.40982,1.04432,0.00143595,0.00143595,0.00143595
9,559.332,1.0719,0.52825,1.1014,0.9622,0.91098,0.94043,0.67013,1.11516,0.43298,1.06709,0.00140295,0.00140295,0.00140295
10,620.776,1.06812,0.52101,1.09827,0.96629,0.91774,0.94123,0.69072,1.02445,0.40203,1.05525,0.00136994,0.00136994,0.00136994
11,682.26,1.05167,0.5039,1.09291,0.93675,0.90057,0.93495,0.6875,0.99302,0.45848,1.02956,0.00133693,0.00133693,0.00133693
12,742.232,1.0417,0.49934,1.08888,0.98083,0.92324,0.94906,0.70321,1.00359,0.3794,1.03938,0.00130393,0.00130393,0.00130393
13,802.857,1.02315,0.49085,1.07742,0.96641,0.89167,0.93319,0.69077,0.98526,0.41073,1.03207,0.00127092,0.00127092,0.00127092
14,862.821,1.02084,0.48532,1.07805,0.9586,0.92167,0.94449,0.71093,0.97015,0.37752,1.01283,0.00123791,0.00123791,0.00123791
15,923.377,1.0174,0.47722,1.07726,0.97261,0.9121,0.94791,0.72254,0.95218,0.37093,1.00771,0.00120491,0.00120491,0.00120491
16,983.892,1.00775,0.47361,1.06801,0.97746,0.92861,0.94886,0.70563,0.98474,0.36672,1.02712,0.0011719,0.0011719,0.0011719
17,1044.12,0.99883,0.45982,1.06062,0.9763,0.92768,0.95036,0.71669,0.96919,0.36122,1.02052,0.00113889,0.00113889,0.00113889
18,1104.12,0.98499,0.45582,1.05821,0.9769,0.9284,0.94863,0.71426,0.97451,0.36011,1.01876,0.00110589,0.00110589,0.00110589
19,1164.26,0.96989,0.44694,1.05045,0.97636,0.9266,0.94482,0.71885,0.94853,0.35656,1.01586,0.00107288,0.00107288,0.00107288
20,1224.43,0.97103,0.44249,1.05253,0.98135,0.92835,0.95089,0.72296,0.95114,0.34305,1.0079,0.00103987,0.00103987,0.00103987
21,1284.92,0.96837,0.43788,1.05121,0.98459,0.93357,0.95379,0.73417,0.93978,0.33276,1.00519,0.00100687,0.00100687,0.00100687
22,1345.79,0.96181,0.4333,1.04797,0.98073,0.93305,0.95483,0.74064,0.93419,0.3316,1.00394,0.000973861,0.000973861,0.000973861
23,1407.61,0.95455,0.42953,1.04392,0.98287,0.93382,0.95195,0.73446,0.93509,0.3311,1.0074,0.000940855,0.000940855,0.000940855
24,1468.15,0.94196,0.42255,1.04031,0.98258,0.93342,0.95176,0.73733,0.9116,0.32322,0.99669,0.000907848,0.000907848,0.000907848
25,1528.75,0.94355,0.42225,1.04116,0.98401,0.93483,0.95205,0.73504,0.92765,0.32135,1.00178,0.000874842,0.000874842,0.000874842
26,1589.41,0.92917,0.41273,1.0329,0.97979,0.93116,0.95372,0.74157,0.91706,0.32918,0.99949,0.000841835,0.000841835,0.000841835
27,1650.43,0.92734,0.41353,1.03383,0.98442,0.93532,0.95334,0.73692,0.93978,0.32885,1.00961,0.000808828,0.000808828,0.000808828
28,1711.13,0.92343,0.40812,1.03187,0.98138,0.93675,0.95414,0.7451,0.90454,0.31448,0.99245,0.000775822,0.000775822,0.000775822
29,1772.12,0.91628,0.40267,1.02832,0.98572,0.93693,0.95524,0.74756,0.90513,0.31273,0.9928,0.000742815,0.000742815,0.000742815
30,1832.89,0.91299,0.3991,1.02697,0.98786,0.93659,0.95956,0.7554,0.90607,0.30652,0.98888,0.000709809,0.000709809,0.000709809
31,1894,0.90653,0.39854,1.02452,0.98578,0.93228,0.9554,0.75147,0.90103,0.30885,0.99564,0.000676802,0.000676802,0.000676802
